iter	RMSE
0	32742.15039
1	32045.18629
2	31501.65029
3	30877.67367
4	30297.77691
5	29739.76446
6	29133.01603
7	28617.33753
8	28123.5799
9	27783.02785
10	27353.357
11	26943.24371
12	26516.3725
13	26102.44511
14	25768.46132
15	25427.11052
16	25126.31839
17	24789.07125
18	24487.7841
19	24178.68654
20	23932.31908
21	23682.57625
22	23372.12871
23	23098.69771
24	22832.46128
25	22565.44305
26	22334.31216
27	22068.27368
28	21874.06885
29	21601.64193
30	21437.58598
31	21215.10904
32	20980.83127
33	20808.21803
34	20615.93354
35	20416.409
36	20172.96791
37	20001.05149
38	19790.71009
39	19578.41365
40	19389.96072
41	19201.43306
42	19024.75418
43	18830.12116
44	18645.73215
45	18490.42387
46	18329.74185
47	18179.47509
48	18011.23334
49	17816.88011
50	17656.34076
51	17487.75786
52	17350.91555
53	17181.82737
54	17072.40726
55	16948.57901
56	16821.02839
57	16684.97693
58	16525.36115
59	16414.52644
60	16313.3093
61	16235.60186
62	16173.71754
63	16095.79874
64	15985.49758
65	15862.28702
66	15781.83165
67	15658.70602
68	15525.22762
69	15477.36541
70	15419.299
71	15306.12609
72	15299.72472
73	15163.51015
74	15042.50047
75	14972.46939
76	14848.45535
77	14719.05985
78	14598.24143
79	14499.76522
80	14470.4026
81	14348.42301
82	14241.1834
83	14128.99924
84	14021.52082
85	13895.5448
86	13792.54765
87	13685.67393
88	13586.96543
89	13487.57918
90	13368.52254
91	13278.39532
92	13185.58559
93	13075.24526
94	12980.15895
95	12903.05079
96	12883.83431
97	12793.3222
98	12709.04389
99	12607.13365
100	12558.75982
101	12478.87822
102	12456.68371
103	12370.51043
104	12309.70375
105	12224.28392
106	12147.14347
107	12059.15554
108	12054.12313
109	11978.2196
110	11974.34375
111	11957.6925
112	11887.74372
113	11835.81455
114	11757.71247
115	11689.71446
116	11612.97304
117	11555.44871
118	11478.36643
119	11411.83458
120	11408.36142
121	11367.3581
122	11303.14412
123	11223.79887
124	11148.16972
125	11105.06956
126	11055.52078
127	10998.02621
128	10934.8844
129	10915.14974
130	10849.03779
131	10795.81514
132	10726.21845
133	10664.38487
134	10638.73997
135	10578.00295
136	10518.92869
137	10440.0102
138	10383.40936
139	10334.27769
140	10268.70959
141	10234.97975
142	10191.23607
143	10116.36248
144	10051.84371
145	9992.67336
146	9955.28639
147	9899.943469
148	9865.622595
149	9809.030306
150	9747.939019
151	9702.973347
152	9660.386385
153	9643.126675
154	9589.809347
155	9547.266342
156	9504.533064
157	9467.130347
158	9435.298403
159	9383.994604
160	9363.463933
161	9332.491454
162	9326.478747
163	9284.025529
164	9257.168494
