                     Missing Count  Missing %
var_46                       33906     67.812
residence_ownership          33166     66.332
var_25                       32856     65.712
var_7                        32511     65.022
var_3                        32511     65.022
var_63                       32511     65.022
var_10                       31647     63.294
var_57                       31531     63.062
var_60                       30886     61.772
var_41                       29342     58.684
var_29                       29005     58.010
var_59                       28953     57.906
var_5                        28297     56.594
var_22                       28297     56.594
var_2                        28297     56.594
var_33                       28297     56.594
var_55                       28155     56.310
var_47                       27519     55.038
var_23                       27519     55.038
var_26                       27519     55.038
var_44                       27519     55.038
var_4                        27519     55.038
var_12                       27519     55.038
var_38                       27468     54.936
var_49                       27468     54.936
var_40                       25219     50.438
var_72                       25021     50.042
var_58                       23776     47.552
var_42                       23497     46.994
var_36                       23497     46.994
var_35                       23488     46.976
var_53                       23488     46.976
var_50                       20647     41.294
var_16                       19238     38.476
var_37                       18306     36.612
var_48                       18306     36.612
var_67                       18306     36.612
var_70                       18306     36.612
var_39                       15135     30.270
var_61                       13375     26.750
device_model                 11871     23.742
device_category              11866     23.732
device_manufacturer          11602     23.204
platform                     11592     23.184
var_62                        9361     18.722
var_11                        9088     18.176
var_71                        9006     18.012
var_24                        8326     16.652
var_15                        6534     13.068
var_54                        5939     11.878
var_43                        5492     10.984
var_45                        4953      9.906
var_27                        4365      8.730
var_28                        3497      6.994
var_66                        2771      5.542
gender                        2666      5.332
var_56                        2562      5.124
var_51                        2524      5.048
var_34                        2436      4.872
var_13                        2414      4.828
var_0                         2353      4.706
var_73                        2351      4.702
var_1                         2351      4.702
var_64                        1870      3.740
var_31                        1604      3.208
var_30                         826      1.652
var_20                         553      1.106
var_19                         549      1.098
var_65                         435      0.870
var_52                         389      0.778
var_8                          247      0.494
var_68                         247      0.494
var_69                         194      0.388
var_18                         143      0.286
var_6                          143      0.286
var_9                          142      0.284
var_17                         142      0.284
var_21                         142      0.284
var_74                         119      0.238
var_14                         119      0.238
var_32                         119      0.238
var_75                         119      0.238
city                            84      0.168
id                               0      0.000
pin                              0      0.000
age                              0      0.000
marital_status                   0      0.000
target_income                    0      0.000
state                            0      0.000
